,name,sowing,spacing,harvest,compatibility,avoid,image_link
0,Amaranth," Sow in garden. 				Sow seed at a depth approximately three times the diameter of the seed.
				Best planted at soil temperatures between 18°C and 30°C.
				 (Show °F/in) 
",Space plants:  50  cm apart 			,"
				Harvest in 7-8 weeks.
			","Compatible with (can grow beside): Onions, corn, peppers, egg plant, tomatoes",,www.gardenate.com/image/189
1,Angelica," Easy to grow.  Sow in garden. 				Sow seed at a depth approximately three times the diameter of the seed.
				Best planted at soil temperatures between 10°C and 25°C.
				 (Show °F/in) 
",Space plants:  45  cm apart 			,"
				Harvest in approximately 18 months. Angelica archangelica has slightly dull leaves, not shiny..
			","Compatible with (can grow beside): Any herbs that like damp, shady areas - mint, lemon balm",,www.gardenate.com/image/124
2,Artichokes%20(Globe)," Easy to grow.  Sow in garden. 				Sow seed at a depth approximately three times the diameter of the seed.
				Best planted at soil temperatures between 15°C and 18°C.
				 (Show °F/in) 
",Space plants:  160 - 200  cm apart 			,"
				Harvest in 42-57 weeks.
			",Compatible with (can grow beside): Needs a lot of space. Best in separate bed,,www.gardenate.com/image/14
3,Asparagus," Easy to grow.  Plant as crowns. 
				Best planted at soil temperatures between 16°C and 30°C.
				 (Show °F/in) 
",Space plants:  20 - 40  cm apart 			,"
				Harvest in 2-3 years. Plant 'crowns' to harvest earlier .
			","Compatible with (can grow beside): Parsley, Basil, Nasturtiums, Lettuce","Avoid growing close to: Garlic, Onions, and root vegetables",www.gardenate.com/image/178
4,Asparagus%2BPea," Easy to grow.  Sow in garden. 				Sow seed at a depth approximately three times the diameter of the seed.
				Best planted at soil temperatures between 15°C and 20°C.
				 (Show °F/in) 
",Space plants:  20 - 25  cm apart 			,"
				Harvest in 8-11 weeks. Pick early, pick often.
			",Compatible with (can grow beside): Best grown in separate bed,,www.gardenate.com/image/176
5,Basil," Grow in seed trays, and plant out in 4-6 weeks. 				Sow seed at a depth approximately three times the diameter of the seed.
				Best planted at soil temperatures between 18°C and 35°C.
				 (Show °F/in) 
",Space plants:  20 - 25  cm apart 			,"
				Harvest in 10-12 weeks. Pick before flowering.
			",Compatible with (can grow beside): Tomato,,www.gardenate.com/image/22
6,Beans%2B-%2Bclimbing," Easy to grow.  Sow in garden. 				Sow seed at a depth approximately three times the diameter of the seed.
				Best planted at soil temperatures between 16°C and 30°C.
				 (Show °F/in) 
",Space plants:  10 - 20  cm apart 			,"
				Harvest in 9-11 weeks.
			","Compatible with (can grow beside): Sweetcorn, spinach, lettuce, summer savory, dill, carrots, brassicas, beets, radish, strawberry, cucumbers, zucchini, tagates minuta (wild marigold)","Avoid growing close to: Alliums (Chives, leek, garlic, onions), Florence fennel",www.gardenate.com/image/42
7,Beans%2B-%2Bdwarf," Easy to grow.  Sow in garden. 				Sow seed at a depth approximately three times the diameter of the seed.
				Best planted at soil temperatures between 16°C and 30°C.
				 (Show °F/in) 
",Space plants:  5 - 15  cm apart 			,"
				Harvest in 7-10 weeks. Pick often to encourage more flower production.
			","Compatible with (can grow beside): Sweetcorn, spinach, lettuce, summer savory, dill, carrots, brassicas, beets, radish, strawberry and cucumbers, tagates minuta (wild marigold)","Avoid growing close to: Alliums (Chives, leek, garlic, onions) Sunflower",www.gardenate.com/image/43
8,Beetroot," Easy to grow.  Sow in garden. 				Sow seed at a depth approximately three times the diameter of the seed.
				Best planted at soil temperatures between 7°C and 25°C.
				 (Show °F/in) 
",Space plants:  20 - 30  cm apart 			,"
				Harvest in 7-10 weeks.
			","Compatible with (can grow beside): Onions, Silverbeet (Swiss Chard), Lettuce, Cabbage, Dwarf Beans, Dill, Peas. Strawberries","Avoid growing close to: Asparagus, Carrots, Sweetcorn, Spinach",www.gardenate.com/image/67
9,Borage," Easy to grow.  Sow in garden. 				Sow seed at a depth approximately three times the diameter of the seed.
				Best planted at soil temperatures between 10°C and 25°C.
				 (Show °F/in) 
",Space plants:  20  cm apart 			,"
				Harvest in 8-10 weeks. Use leaves before flowers appear, otherwise they will be 'hairy'. .
			","Compatible with (can grow beside): Strawberry, tomatoes, zucchini/squash. Deters pests from many plants.",,www.gardenate.com/image/180
