,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,name,zone
0,S,S,S,,,,,S,S,S,S,S,Amaranth,17
1,T,T,T,T,,,,T,T,T,T,T,Amaranth,17
2,P,P,P,,,,,P,P,P,P,P,Amaranth,17
3,,,,,,,,,,S,S,S,Amaranth,1
4,T,,,,,,,,,T,T,T,Amaranth,1
5,,,,,,,,,,P,P,P,Amaranth,1
6,S,S,S,,,,,S,S,S,S,S,Amaranth,3
7,T,T,T,T,,,,T,T,T,T,T,Amaranth,3
8,P,P,P,,,,,P,P,P,P,P,Amaranth,3
9,S,S,,,,,,,S,S,S,S,Amaranth,2
10,T,T,T,,,,,,,T,T,T,Amaranth,2
11,P,P,,,,,,,P,P,P,P,Amaranth,2
12,,,,S,S,S,S,,,,,,Amaranth,4
13,,,,T,T,T,T,T,,,,,Amaranth,4
14,,,,P,P,P,P,P,,,,,Amaranth,4
15,,,P,,,,,,,,,,Amaranth,8
16,,,,P,P,,,,,,,,Amaranth,9
17,,,,,,,,,P,P,P,,Amaranth,6
18,P,P,P,P,,,,P,P,P,P,P,Amaranth,7
19,P,P,P,,,,,,P,P,P,P,Amaranth,5
20,,,,P,P,,,,,,,,Amaranth,10
21,,,,P,P,,,,,,,,Amaranth,114
22,,,P,P,,,,,,,,,Amaranth,13
23,,,P,P,,,,,,,,,Amaranth,12
24,,P,,P,,,,,,,,,Amaranth,115
25,,P,,P,,,,,,,,,Amaranth,116
26,P,P,,,,,,,,,,,Amaranth,15
27,P,P,,,,,,,,,,,Amaranth,100
28,,,,,,,,,,T,T,,Amaranth,23
29,,,,,,,,,P,P,,,Amaranth,23
30,,,,,,,,P,P,P,P,,Amaranth,20
31,,,,,,,,,,T,T,,Amaranth,21
32,,,,,,,,,P,P,P,,Amaranth,21
33,,,,,,,,,P,P,P,,Amaranth,22
34,,,,,,,S,S,S,,,,Angelica,17
35,,,,,,,,T,T,,,,Angelica,17
36,,,,,,,,P,P,,,,Angelica,17
37,,,,,,,,,,S,S,,Angelica,1
38,,,,,,,,,,,T,T,Angelica,1
39,,,,,,,S,S,S,S,,,Angelica,3
40,,,,,,,,T,T,T,T,,Angelica,3
41,,,,,,,,,P,P,P,,Angelica,3
42,,,,,,,,,S,S,S,,Angelica,2
43,,,,,,,,,,T,T,T,Angelica,2
44,,,,,,,,,,P,P,,Angelica,2
45,,,,,S,,,,,,,,Angelica,4
46,,,,,T,T,,,,,,,Angelica,4
47,,,,,P,P,,,,,,,Angelica,4
48,,,,,,,P,,,,,,Angelica,57
49,,,,,,,P,P,,,,,Angelica,56
50,,,,,,,P,P,,,,,Angelica,55
51,,,,,,,P,P,,,,,Angelica,54
52,,,,,,,P,P,,,,,Angelica,53
53,,,,,,,P,P,P,,,,Angelica,52
54,,,,,,,P,P,P,,,,Angelica,51
55,,,,,,,P,P,P,,,,Angelica,50
56,,,,,P,,,,,,,,Angelica,8
57,,,,P,P,,,,,,,,Angelica,9
58,,,,,,,,,,,P,P,Angelica,6
59,,,,,,,,,P,P,P,,Angelica,7
60,,,,,,,,,,P,P,,Angelica,5
61,,,,,,,,,P,,,,Angelica,111
62,,,,,,,,,P,,,,Angelica,112
63,,,,,P,,,,,,,,Angelica,11
64,,,,,P,,,,,,,,Angelica,14
65,,,P,,,,,,,,,,Angelica,16
66,,,P,,,,,,,,,,Angelica,113
67,,,P,,,,,,,,,,Angelica,10
68,,,P,,,,,,,,,,Angelica,114
69,,,,,,,,,,,P,,Angelica,13
70,,,,,,,,,,,P,,Angelica,12
71,,,,,,,,,,,,P,Angelica,115
72,,,,,,,,,,,P,,Angelica,116
73,,,,,,,,,,,,P,Angelica,15
74,,,,,,,,,,,,P,Angelica,100
75,,,,,,,,,S,S,S,,Angelica,23
76,,,,,,,,,T,T,T,T,Angelica,23
77,,,P,P,P,,,,P,P,P,,Angelica,23
78,,,,,,,,,S,S,S,,Angelica,20
79,,,,,,,,,,T,T,T,Angelica,20
80,,,P,P,P,,,,P,P,P,,Angelica,20
81,,,,,,,,,S,S,S,,Angelica,21
82,,,,,,,,,,T,T,T,Angelica,21
83,,,P,P,P,,,,P,P,P,,Angelica,21
84,,,,,,,,,,P,P,P,Angelica,22
85,,,,,,S,S,S,S,S,,,Artichokes%20(Globe),17
86,,,,,,,T,T,T,T,T,T,Artichokes%20(Globe),17
87,,,,,,P,P,P,P,P,P,P,Artichokes%20(Globe),17
88,,,,,,,,,S,S,S,,Artichokes%20(Globe),1
89,,,,,,,,,,,T,T,Artichokes%20(Globe),1
90,,,,,,,S,S,S,S,,,Artichokes%20(Globe),3
91,,,,,,,,T,T,T,T,,Artichokes%20(Globe),3
92,,,,,,,,P,P,P,P,,Artichokes%20(Globe),3
93,,,,,,,,S,S,S,S,,Artichokes%20(Globe),2
94,,,,,,,,,,T,T,T,Artichokes%20(Globe),2
95,,,,,,,,,,P,P,,Artichokes%20(Globe),2
96,,,,S,S,S,,,,,,,Artichokes%20(Globe),4
97,,,,T,T,T,T,,,,,,Artichokes%20(Globe),4
98,,,,P,P,P,P,,,,,,Artichokes%20(Globe),4
99,,,S,,,,,,,,,,Artichokes%20(Globe),60
100,,,,,,T,,,,,,,Artichokes%20(Globe),60
101,,,S,,,,,,,,,,Artichokes%20(Globe),59
102,,,,,,T,,,,,,,Artichokes%20(Globe),59
103,,,S,,,,,,,,,,Artichokes%20(Globe),58
104,,,,,,T,,,,,,,Artichokes%20(Globe),58
105,,,S,,,,,,,,,,Artichokes%20(Globe),57
106,,,,,,T,,,,,,,Artichokes%20(Globe),57
107,,,S,,,,,,,,,,Artichokes%20(Globe),56
108,,,,,,T,,,,,,,Artichokes%20(Globe),56
109,,,S,,,,,,,,,,Artichokes%20(Globe),55
110,,,,,,T,,,,,,,Artichokes%20(Globe),55
111,,,S,,,,,,,,,,Artichokes%20(Globe),54
112,,,,,,T,,,,,,,Artichokes%20(Globe),54
113,,S,S,,,,,,,,,,Artichokes%20(Globe),53
