,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,name,zone,hardiness_zone
20,,,,P,P,,,,,,,,Amaranth,10,7a
21,,,,P,P,,,,,,,,Amaranth,114,7b
22,,,P,P,,,,,,,,,Amaranth,13,8a
23,,,P,P,,,,,,,,,Amaranth,12,8b
24,,P,,P,,,,,,,,,Amaranth,115,9a
25,,P,,P,,,,,,,,,Amaranth,116,9b
26,P,P,,,,,,,,,,,Amaranth,15,10a
27,P,P,,,,,,,,,,,Amaranth,100,10b
61,,,,,,,,,P,,,,Angelica,111,4a
62,,,,,,,,,P,,,,Angelica,112,4b
63,,,,,P,,,,,,,,Angelica,11,5a
64,,,,,P,,,,,,,,Angelica,14,5b
65,,,P,,,,,,,,,,Angelica,16,6a
66,,,P,,,,,,,,,,Angelica,113,6b
67,,,P,,,,,,,,,,Angelica,10,7a
68,,,P,,,,,,,,,,Angelica,114,7b
69,,,,,,,,,,,P,,Angelica,13,8a
70,,,,,,,,,,,P,,Angelica,12,8b
71,,,,,,,,,,,,P,Angelica,115,9a
72,,,,,,,,,,,P,,Angelica,116,9b
73,,,,,,,,,,,,P,Angelica,15,10a
74,,,,,,,,,,,,P,Angelica,100,10b
126,,S,,,,,,,,,,,Artichokes,111,4a
127,,,,T,,,,,,,,,Artichokes,111,4a
128,,,,P,,,,,,,,,Artichokes,111,4a
129,,S,,,,,,,,,,,Artichokes,112,4b
130,,,,T,,,,,,,,,Artichokes,112,4b
131,,,,P,,,,,,,,,Artichokes,112,4b
132,,S,,,,,,,,,,,Artichokes,11,5a
133,,,,T,,,,,,,,,Artichokes,11,5a
134,,,,P,,,,,,,,,Artichokes,11,5a
135,,S,,,,,,,,,,,Artichokes,14,5b
136,,,,T,,,,,,,,,Artichokes,14,5b
137,,,,P,,,,,,,,,Artichokes,14,5b
138,,S,S,,,,,,,,,,Artichokes,16,6a
139,,,,,T,,,,,,,,Artichokes,16,6a
140,,S,S,,,,,,,,,,Artichokes,113,6b
141,,,,,T,,,,,,,,Artichokes,113,6b
142,,S,S,,,,,,,,,,Artichokes,10,7a
143,,,,,T,,,,,,,,Artichokes,10,7a
144,,S,S,,,,,,,,,,Artichokes,114,7b
145,,,,T,,,,,,,,,Artichokes,114,7b
146,,S,S,,,,,,,,,,Artichokes,13,8a
147,,,,,T,,,,,,,,Artichokes,13,8a
148,,S,S,,,,,,,,,,Artichokes,12,8b
149,,,,,T,,,,,,,,Artichokes,12,8b
150,S,S,,,,,,,,,,,Artichokes,115,9a
151,,,,T,,,,,,,,,Artichokes,115,9a
152,S,S,,,,,,,,,,,Artichokes,116,9b
153,,,,T,,,,,,,,,Artichokes,116,9b
154,,,,,,,,,,,,S,Artichokes,15,10a
155,,T,,,,,,,,,,,Artichokes,15,10a
156,,,,,,,,,,,S,,Artichokes,100,10b
157,T,,,,,,,,,,,,Artichokes,100,10b
206,,,S,,,,,,,,,,Asparagus,107,2a
207,,,,,T,,,,,,,,Asparagus,107,2a
208,,,,,P,,,,,,,,Asparagus,107,2a
209,,,S,,,,,,,,,,Asparagus,108,2b
210,,,,,T,,,,,,,,Asparagus,108,2b
211,,,,,P,,,,,,,,Asparagus,108,2b
212,,,,S,,,,,,,,,Asparagus,109,3a
213,,,,,,T,,,,,,,Asparagus,109,3a
214,,,,S,,,,,,,,,Asparagus,110,3b
215,,,,,,T,,,,,,,Asparagus,110,3b
216,,,,S,,,,,,,,,Asparagus,111,4a
217,,,,,,T,,,,,,,Asparagus,111,4a
218,,,,S,,,,,,,,,Asparagus,112,4b
219,,,,,,T,,,,,,,Asparagus,112,4b
220,,,S,,,,,,,,,,Asparagus,11,5a
221,,,,,T,,,,,,,,Asparagus,11,5a
222,,,S,,,,,,,,,,Asparagus,14,5b
223,,,,,T,,,,,,,,Asparagus,14,5b
224,,,S,,,,,,,,,,Asparagus,16,6a
225,,,,,T,,,,,,,,Asparagus,16,6a
226,,,S,,,,,,,,,,Asparagus,113,6b
227,,,,,T,,,,,,,,Asparagus,113,6b
228,,P,P,,,,,,,,P,P,Asparagus,10,7a
229,,P,P,,,,,,,,P,P,Asparagus,114,7b
230,,P,P,,,,,,,,P,P,Asparagus,13,8a
231,,P,P,,,,,,,,P,P,Asparagus,12,8b
232,P,P,,,,,,,,,P,P,Asparagus,15,10a
259,,,,,P,,,,,,,,Asparagus Pea,11,5a
260,,,,,P,,,,,,,,Asparagus Pea,14,5b
261,,,,P,,,,,,,,,Asparagus Pea,16,6a
262,,,,P,,,,,,,,,Asparagus Pea,113,6b
263,,,,P,,,,,,,,,Asparagus Pea,10,7a
264,,,,P,,,,,,,,,Asparagus Pea,114,7b
265,,,,P,P,,,,,,,,Asparagus Pea,13,8a
266,,,,P,P,,,,,,,,Asparagus Pea,12,8b
267,,,P,P,,,,,,,,,Asparagus Pea,115,9a
268,,,P,P,,,,,,,,,Asparagus Pea,116,9b
269,,,P,,,,,,,,,,Asparagus Pea,15,10a
270,,,P,,,,,,,,,,Asparagus Pea,100,10b
271,,P,,,,,,,,,,,Asparagus Pea,101,11a
272,,P,,,,,,,,,,,Asparagus Pea,102,11b
310,,,,S,,,,,,,,,Basil,107,2a
311,,,,,T,,,,,,,,Basil,107,2a
312,,,,S,,,,,,,,,Basil,108,2b
313,,,,,T,,,,,,,,Basil,108,2b
314,,,,S,,,,,,,,,Basil,109,3a
315,,,,,T,,,,,,,,Basil,109,3a
316,,,,,P,,,,,,,,Basil,109,3a
